ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass
246,Business,,Female,High School Equivalent,Single,0,2.61,Discovery,36,No,8,Yes,Leisure Travel,0,Silver
247,Private Sector,,,Associate Degree,Single,0,3.29,IHG,30,Yes,0,Yes,Leisure Travel,0.000995832,Silver
248,Self-Employed,31,Female,Professional,Divorced,,3.09,IHG,4,No,12,Yes,Business,0,Silver
249,Private Sector,32,Female,High School Equivalent,Single,,3.27,Marriott,,No,7,No,Leisure Travel,9642.123215,Silver
250,Business,,Female,Associate Degree,Married,,1.78,Expedia,15,No,3,Yes,Business,0,Bronze
251,Private Sector,,Male,MBA,Married,,3.56,Marriott,4,No,7,No,Leisure Travel,0,Silver
252,Public Sector,,,MBA,Married,,2.8,None,47,No,12,No,Business,0,Bronze
253,Business,,,High School Equivalent,Divorced,0,3.74,Discovery,27,No,19,No,Business,2.243108488,Silver
254,Public Sector,28,Female,High School Equivalent,Single,0,3.26,IHG,,Yes,0,Yes,Business,0,Bronze
255,Private Sector,24,,High School Equivalent,Divorced,,2.59,Expedia,26,No,7,Yes,Business,3.98521E-06,Bronze
256,Private Sector,29,Male,MBA,Married,,2.83,Hilton,37,Yes,0,Yes,Leisure Travel,0,Silver
257,Business,,Female,Associate Degree,Married,0,2.91,IHG,0,Yes,0,No,Medical Tourism,3300.421512,Silver
258,Self-Employed,,Male,MBA,Divorced,1,2.82,None,35,Yes,0,No,Business,0.088379822,Silver
259,Public Sector,,Male,MBA,Single,,3.16,Expedia,3,No,13,Yes,Business,238.6180451,Gold
260,Private Sector,36,Male,Associate Degree,Divorced,,2.6,IHG,47,No,7,Yes,Business,149.4158152,Silver
261,Private Sector,,Female,Associate Degree,Married,1,2.82,IHG,36,No,13,Yes,Leisure Travel,0,Silver
262,Business,53,,Professional,Married,1,3.41,Marriott,32,No,5,No,Business,0,Silver
263,Self-Employed,60,Female,High School Equivalent,Married,,2.65,Discovery,14,Yes,0,Yes,Leisure Travel,0,Bronze
264,Business,18,Male,MBA,Single,0,2.86,IHG,2,Yes,0,Yes,Medical Tourism,342.0044997,Bronze
265,Private Sector,32,Female,Professional,Single,0,3.74,Marriott,22,No,14,Yes,Leisure Travel,14150.28158,Silver
266,Private Sector,58,,High School Equivalent,Single,,3.3,Jumeirah,10,No,11,No,Leisure Travel,89.6042896,Bronze
267,Self-Employed,,,High School Equivalent,Divorced,,3.19,IHG,40,Yes,0,Yes,Medical Tourism,24784.66349,Silver
268,Public Sector,,Male,Bachelors Degree,Single,0,2.79,Discovery,11,No,14,Yes,Medical Tourism,0,Bronze
269,Public Sector,30,Female,Associate Degree,Divorced,,2.81,IHG,30,No,12,No,Leisure Travel,0.000305177,Bronze
270,Self-Employed,53,Female,MBA,Widowed,0,3.05,None,49,No,17,Yes,Leisure Travel,29.9365846,Bronze
271,Business,38,Male,High School Equivalent,Married,,2.6,Discovery,,Yes,0,Yes,Medical Tourism,4.623940233,Silver
272,Self-Employed,33,Male,MBA,Married,,2.73,Marriott,3,No,16,Yes,Business,120.4997012,Bronze
273,Private Sector,,Female,MBA,Married,1,3.3,Marriott,13,Yes,0,No,Medical Tourism,0,Bronze
274,Private Sector,,,Bachelors Degree,Widowed,0,3.4,IHG,31,No,15,Yes,Medical Tourism,10474.04908,Silver
275,Private Sector,37,,Associate Degree,Single,0,3.53,Marriott,26,No,17,Yes,Leisure Travel,0.002257086,Bronze
276,Public Sector,33,,Masters Degree,Married,1,2.26,None,38,Yes,0,No,Leisure Travel,19909.66792,Silver
277,Private Sector,57,Male,MBA,Divorced,,2.9,Marriott,33,No,9,Yes,Business,0,Silver
278,Business,31,Male,Bachelors Degree,Widowed,,3.13,Marriott,26,No,20,No,Leisure Travel,0,Silver
279,,,Male,Doctorate,Divorced,1,3.52,IHG,48,Yes,0,Yes,Leisure Travel,2264.379772,Silver
280,Business,,Female,High School Equivalent,Single,,2.86,Marriott,12,Yes,0,No,Business,0,Silver
281,Private Sector,38,Male,MBA,Married,3,3.22,IHG,7,No,13,No,Business,0,Silver
282,Public Sector,60,Male,Masters Degree,Single,0,3.27,Expedia,3,No,4,No,Medical Tourism,100.0909853,Bronze
283,Self-Employed,47,Female,MBA,Divorced,1,2.74,Jumeirah,36,No,18,Yes,Business,24444.46195,Silver
284,Private Sector,,Male,MBA,Married,1,2.85,Marriott,40,Yes,0,Yes,Leisure Travel,28343.15913,Silver
285,Private Sector,,Female,Associate Degree,Married,,2.8,Expedia,21,No,3,No,Business,3875.395504,Silver
286,Public Sector,19,,Bachelors Degree,Married,0,2.81,IHG,,No,5,Yes,Leisure Travel,0,Bronze
287,Private Sector,,,MBA,Married,,3.56,IHG,39,No,15,Yes,Business,0,Silver
288,Business,,,High School Equivalent,Married,1,3.3,IHG,30,No,15,No,Business,0,Silver
289,Private Sector,24,,Associate Degree,Married,1,2.69,IHG,16,No,7,No,Leisure Travel,7623.513785,Silver
290,Private Sector,46,Female,MBA,Divorced,1,3.7,Marriott,25,Yes,0,No,Medical Tourism,0,Silver
291,Public Sector,58,Female,High School Equivalent,Single,,3.12,Marriott,48,Yes,0,No,Leisure Travel,0.474141148,Bronze
292,Private Sector,,,Bachelors Degree,Divorced,3,3.07,Marriott,34,No,14,No,Medical Tourism,62.42988947,Silver
293,Business,32,Female,High School Equivalent,Married,1,3,Discovery,4,Yes,0,Yes,Business,0,Silver
294,,51,,High School Equivalent,Single,,2.68,IHG,29,Yes,0,Yes,Medical Tourism,0,Silver
295,Public Sector,50,,Doctorate,Married,,2.42,Marriott,38,Yes,0,No,Business,1.229451144,Silver
296,Business,,Male,MBA,Married,,3.68,Marriott,28,Yes,0,No,Leisure Travel,0,Silver
297,Business,,Female,MBA,Divorced,0,2.55,IHG,12,Yes,0,No,Leisure Travel,13187.95524,Silver
298,Private Sector,54,Female,Associate Degree,Single,0,2.48,IHG,,Yes,0,Yes,Business,0,Silver
299,,24,Female,Professional,Married,1,2.35,Marriott,2,Yes,0,No,Medical Tourism,0,Silver
300,Business,43,Female,High School Equivalent,Married,,2.39,IHG,21,No,19,No,Leisure Travel,1351.315957,Bronze
301,Private Sector,54,,Associate Degree,Single,,2.75,IHG,1,No,3,No,Medical Tourism,633.568596,Silver
302,Public Sector,,Male,High School Equivalent,Married,1,2.49,Marriott,16,No,18,No,Business,0,Bronze
303,Business,41,Female,High School Equivalent,Married,1,2.47,IHG,7,Yes,0,Yes,Medical Tourism,0,Silver
304,Public Sector,19,Female,Bachelors Degree,Single,0,2.23,Marriott,,No,14,No,Business,0,Bronze
305,Private Sector,27,Male,Professional,Divorced,1,2.96,IHG,28,No,10,Yes,Business,39.91173342,Silver
306,Private Sector,54,Female,Bachelors Degree,Married,1,2.51,None,,Yes,0,Yes,Business,0.699991176,Silver
307,Business,,Male,Associate Degree,Single,0,2.33,Marriott,,No,1,No,Business,0,Bronze
308,Business,,,High School Equivalent,Single,,3.14,Discovery,16,No,7,No,Leisure Travel,550.7845819,Silver
309,Business,18,Male,Professional,Single,,2.93,Discovery,9,Yes,0,Yes,Business,0.084027308,Silver
310,Private Sector,39,Male,High School Equivalent,Married,,2.71,IHG,,No,8,No,Leisure Travel,13901.67043,Bronze
311,Business,56,Female,High School Equivalent,Married,1,2.26,Jumeirah,25,Yes,0,Yes,Leisure Travel,0,Silver
312,Public Sector,31,Female,MBA,Divorced,1,3.45,None,17,Yes,0,No,Leisure Travel,9722.24845,Bronze
313,Private Sector,,Female,Professional,Single,,3.24,IHG,45,No,12,Yes,Medical Tourism,0,Bronze
314,Self-Employed,,Male,Professional,Married,,2.16,None,44,No,6,Yes,Medical Tourism,0,Silver
315,Self-Employed,27,Female,MBA,Married,1,3.4,None,0,No,12,Yes,Business,10376.79786,Silver
316,Business,,Male,High School Equivalent,Widowed,,3.57,IHG,1,No,4,No,Medical Tourism,0.010855179,Bronze
317,Private Sector,42,Female,Bachelors Degree,Single,0,3.2,Marriott,34,No,15,Yes,Medical Tourism,128.2510029,Bronze
318,Private Sector,,,Bachelors Degree,Married,,3.52,IHG,,No,17,Yes,Business,0,Silver
319,Private Sector,34,Female,Professional,Single,,3.26,None,20,Yes,0,Yes,Leisure Travel,0,Silver
320,Public Sector,,Female,High School Equivalent,Married,1,2.39,IHG,15,No,14,Yes,Medical Tourism,24178.98294,Bronze
321,Private Sector,,Female,High School Equivalent,Single,0,3.16,IHG,23,No,5,Yes,Leisure Travel,60.04188152,Silver
322,,,Female,Technical/Occupational Certificate,Married,0,3.51,Marriott,18,No,13,Yes,Medical Tourism,4876.611148,Silver
323,Business,,Male,Associate Degree,Divorced,,2.42,IHG,30,Yes,0,No,Medical Tourism,5467.015933,Silver
324,Private Sector,,Female,High School Equivalent,Divorced,1,2.79,Marriott,20,Yes,0,Yes,Leisure Travel,5170.710394,Silver
325,Private Sector,,Female,High School Equivalent,Married,0,2.49,Discovery,4,Yes,0,Yes,Medical Tourism,4.702156529,Silver
326,Business,,Female,Professional,Married,,3.78,IHG,27,Yes,0,Yes,Medical Tourism,8522.630764,Silver
327,Self-Employed,,,Associate Degree,Divorced,4,2.6,None,31,No,5,Yes,Leisure Travel,3042.848606,Silver
328,Private Sector,47,Female,High School Equivalent,Single,0,2.1,Expedia,18,No,11,No,Medical Tourism,0,Bronze
329,,36,Female,High School Equivalent,Married,,3,None,42,Yes,0,No,Leisure Travel,227.4717854,Silver
330,Business,,Female,MBA,Married,0,3.14,Hilton,28,No,15,No,Leisure Travel,5679.816651,Silver
331,Private Sector,26,Female,High School Equivalent,Married,,2.92,Marriott,2,No,15,No,Medical Tourism,0,Silver
332,Private Sector,56,Male,Technical/Occupational Certificate,Married,,2.68,IHG,37,Yes,0,No,Leisure Travel,1834.392224,Silver
333,Public Sector,,Male,High School Equivalent,Married,1,4,Marriott,8,No,16,Yes,Medical Tourism,0,Bronze
334,Business,,Female,Professional,Divorced,1,3.11,IHG,21,No,12,No,Leisure Travel,0,Bronze
335,Public Sector,,Female,Associate Degree,Married,,2.57,Marriott,34,No,17,No,Business,0.058407085,Bronze
336,Business,,Female,Bachelors Degree,Single,,2.69,IHG,35,Yes,0,No,Business,0,Silver
337,Private Sector,,,Bachelors Degree,Single,0,2.6,IHG,16,Yes,0,No,Medical Tourism,0,Bronze
338,Business,35,Male,Professional,Married,1,1.63,IHG,20,No,13,Yes,Leisure Travel,0,Bronze
339,Public Sector,,Male,High School Equivalent,Single,,3.69,Marriott,39,Yes,0,Yes,Medical Tourism,2296.964568,Bronze
340,,,,Masters Degree,Single,0,1.59,None,,No,7,Yes,Business,0,Bronze
341,Business,20,Male,Associate Degree,Married,,2.9,Hilton,17,No,17,Yes,Business,144.0639597,Silver
342,Business,60,Female,High School Equivalent,Married,0,2.53,None,16,No,10,No,Leisure Travel,156.9212934,Bronze
343,Self-Employed,56,Male,High School Equivalent,Married,2,2.51,Expedia,35,No,15,Yes,Business,0,Bronze
344,Business,,Male,Masters Degree,Married,1,2.69,Discovery,19,No,18,No,Medical Tourism,0,Bronze
345,Business,,,High School Equivalent,Married,,3.11,Marriott,5,No,18,No,Medical Tourism,0,Bronze
346,Private Sector,,,High School Equivalent,Divorced,3,2.52,IHG,30,Yes,0,No,Leisure Travel,3.96734E-05,Silver
347,Private Sector,,Male,High School Equivalent,Single,,2.11,IHG,46,Yes,0,Yes,Leisure Travel,0,Silver
348,Business,,,High School Equivalent,Single,,3.16,Marriott,38,No,1,No,Medical Tourism,1561.707318,Silver
349,Self-Employed,20,Female,Professional,Single,0,2.29,Marriott,31,No,12,No,Medical Tourism,10041.44034,Silver
350,Business,30,Female,Bachelors Degree,Married,,3.62,IHG,46,Yes,0,Yes,Leisure Travel,0,Silver
351,Public Sector,,,High School Equivalent,Married,1,2.81,Discovery,47,No,3,Yes,Medical Tourism,3527.365634,Bronze
352,,20,Male,High School Equivalent,Divorced,,2.72,IHG,37,No,9,No,Medical Tourism,0,Silver
353,Self-Employed,39,Male,Bachelors Degree,Divorced,,2.26,Marriott,46,No,8,No,Business,0,Silver
354,Private Sector,39,Female,High School Equivalent,Widowed,,2.91,Hilton,31,No,4,No,Business,50.8366111,Silver
355,Private Sector,22,,Masters Degree,Married,,3.22,None,48,No,10,No,Leisure Travel,0,Bronze
356,Private Sector,41,Female,High School Equivalent,Married,0,3.13,IHG,28,No,15,No,Business,21561.71896,Silver
357,Self-Employed,40,,High School Equivalent,Widowed,1,2.16,IHG,1,No,1,No,Medical Tourism,0,Bronze
358,Self-Employed,22,,Bachelors Degree,Divorced,,3.01,IHG,14,No,15,Yes,Leisure Travel,0,Bronze
359,Business,,Female,High School Equivalent,Married,0,2.81,Hilton,23,No,20,No,Business,20.85829245,Silver
360,Private Sector,24,,High School Equivalent,Divorced,,4,Marriott,26,No,11,No,Medical Tourism,0,Silver
361,Private Sector,57,Male,Bachelors Degree,Married,0,2.75,IHG,30,No,2,Yes,Medical Tourism,9247.665741,Silver
362,Public Sector,42,,Professional,Widowed,1,1.92,Marriott,42,Yes,0,No,Leisure Travel,0,Silver
363,Public Sector,,,Associate Degree,Divorced,,2.44,IHG,30,No,7,No,Leisure Travel,0,Silver
364,Private Sector,57,Male,Associate Degree,Married,,2.47,IHG,15,Yes,0,Yes,Leisure Travel,0,Silver
365,,,Female,High School Equivalent,Widowed,1,2.88,Discovery,27,Yes,0,Yes,Medical Tourism,0,Bronze
366,Public Sector,59,Male,Professional,Divorced,1,3.46,Jumeirah,19,No,1,Yes,Business,10.21488875,Silver
367,Private Sector,,Female,MBA,Widowed,0,2.26,None,,No,18,No,Medical Tourism,0,Bronze
368,Business,,Male,High School Equivalent,Single,,2.95,IHG,12,No,12,Yes,Business,0,Silver
369,Public Sector,,Male,Associate Degree,Widowed,,3.23,Expedia,21,No,3,No,Business,0,Bronze
370,Private Sector,39,,Associate Degree,Divorced,,2.25,Discovery,31,Yes,0,Yes,Business,0,Bronze
371,Business,,Female,High School Equivalent,Divorced,,3.43,Discovery,30,No,17,No,Medical Tourism,0,Silver
372,Business,58,Female,Associate Degree,Married,,3.58,IHG,35,Yes,0,No,Business,25.17311095,Silver
373,Business,,Male,MBA,Single,0,2.17,IHG,6,No,9,Yes,Business,0,Silver
374,Business,51,Male,Bachelors Degree,Married,0,3.59,IHG,45,No,8,No,Medical Tourism,0,Bronze
375,,40,Female,Associate Degree,Married,,2.63,None,9,No,10,Yes,Medical Tourism,477.8643684,Silver
376,Public Sector,28,Female,MBA,Married,2,3.41,IHG,19,No,3,Yes,Business,0.027955752,Silver
377,Public Sector,,,MBA,Single,,2.65,IHG,24,No,20,No,Leisure Travel,503.802423,Silver
378,Private Sector,20,Female,High School Equivalent,Married,,2.49,None,14,Yes,0,No,Leisure Travel,0,Bronze
379,Business,28,,High School Equivalent,Single,0,2.31,Marriott,8,No,9,Yes,Business,4.540925603,Silver
380,Business,55,,High School Equivalent,Married,3,2.82,None,47,No,7,No,Business,2241.55004,Silver
381,Private Sector,58,Male,High School Equivalent,Married,1,2.5,Expedia,32,No,20,No,Medical Tourism,0,Bronze
382,Business,25,Male,Masters Degree,Divorced,2,3.19,None,47,No,15,No,Leisure Travel,91.16460816,Bronze
383,Public Sector,32,,High School Equivalent,Single,,2.98,None,,No,10,No,Medical Tourism,1276.819697,Silver
384,Public Sector,26,Female,Doctorate,Married,,3.84,Marriott,35,No,9,Yes,Leisure Travel,5862.131816,Bronze
385,Private Sector,52,Male,Associate Degree,Single,,2.14,IHG,4,Yes,0,No,Medical Tourism,0,Silver
386,,44,Male,Bachelors Degree,Married,3,3.68,IHG,9,No,15,Yes,Medical Tourism,0,Silver
387,Private Sector,46,Male,Professional,Married,0,3.19,IHG,26,No,16,No,Medical Tourism,1075.679709,Silver
388,Business,53,,Bachelors Degree,Married,1,2.89,IHG,4,Yes,0,Yes,Leisure Travel,563.3355826,Silver
389,Private Sector,53,,Associate Degree,Single,0,3.2,IHG,4,No,10,Yes,Business,0,Bronze
390,Private Sector,45,Female,Doctorate,Single,0,3.06,IHG,14,No,19,Yes,Leisure Travel,1.519760959,Silver
391,Private Sector,46,Female,Bachelors Degree,Married,,2.58,Discovery,,No,7,Yes,Leisure Travel,0,Bronze
392,Private Sector,,Male,MBA,Divorced,1,3.6,IHG,13,No,3,No,Leisure Travel,21.7031844,Silver
393,Private Sector,,Male,High School Equivalent,Widowed,1,2.36,Jumeirah,34,No,4,Yes,Medical Tourism,0,Bronze
394,,,Male,High School Equivalent,Married,1,2.94,IHG,39,No,14,Yes,Medical Tourism,0,Gold
395,Self-Employed,,Female,Associate Degree,Single,,3.13,Marriott,34,Yes,0,Yes,Leisure Travel,0,Silver
396,Private Sector,45,Female,MBA,Married,,3.4,None,12,No,16,No,Business,0,Bronze
397,Public Sector,58,Female,MBA,Single,0,3.26,IHG,2,No,5,No,Leisure Travel,5419.058813,Bronze
398,,,Female,MBA,Widowed,,2.82,Hilton,49,No,8,Yes,Business,0.35100192,Bronze
399,Private Sector,,Female,High School Equivalent,Married,1,2.09,Hilton,21,No,14,No,Leisure Travel,82.47436845,Bronze
400,Private Sector,45,,High School Equivalent,Married,0,2.94,IHG,17,No,15,No,Medical Tourism,2511.328941,Silver
401,Public Sector,,Female,High School Equivalent,Single,,2.78,Hilton,39,No,20,No,Business,1559.737605,Bronze
402,Business,54,Male,MBA,Single,0,2.98,None,20,No,6,No,Medical Tourism,1586.588264,Silver
403,Public Sector,53,Female,Professional,Single,0,3.52,IHG,8,No,7,No,Business,19.4119142,Bronze
404,Public Sector,22,,Associate Degree,Divorced,,3.03,Marriott,21,No,11,Yes,Leisure Travel,0,Bronze
405,Business,,Male,Bachelors Degree,Single,0,3.35,Marriott,47,No,3,No,Business,0,Bronze
406,Business,,,Professional,Single,0,2.18,Discovery,42,No,16,Yes,Medical Tourism,0.920290509,Bronze
407,Business,,Male,Associate Degree,Single,,2.24,Expedia,8,No,15,Yes,Leisure Travel,725.7520963,Bronze
408,Business,38,,Professional,Married,1,2.46,IHG,6,No,1,No,Business,3795.836753,Bronze
409,Public Sector,32,Female,Associate Degree,Single,,2.52,None,46,No,10,No,Leisure Travel,0.338349392,Bronze
410,Public Sector,,Female,High School Equivalent,Widowed,,2.62,IHG,14,Yes,0,No,Medical Tourism,0,Silver
411,Private Sector,,,High School Equivalent,Married,1,2.5,IHG,20,No,17,Yes,Leisure Travel,4022.665875,Silver
412,Private Sector,35,Female,Bachelors Degree,Single,,2.42,Marriott,3,No,20,No,Leisure Travel,0,Bronze
413,Public Sector,,Female,Associate Degree,Single,0,3.2,None,47,No,3,Yes,Business,862.6609907,Silver
414,Business,39,Male,Associate Degree,Divorced,,2.52,IHG,24,No,4,Yes,Medical Tourism,4250.821087,Silver
415,Public Sector,37,Female,High School Equivalent,Married,2,3.02,Marriott,33,No,19,No,Business,0,Bronze
416,,,Female,Bachelors Degree,Married,,3.19,IHG,29,No,5,No,Business,39350.72668,Silver
417,Public Sector,,,High School Equivalent,Married,,2.3,IHG,26,No,4,Yes,Business,8.26351E-05,Silver
418,Business,,,Bachelors Degree,Divorced,1,3.1,IHG,41,No,13,Yes,Medical Tourism,0,Bronze
419,Private Sector,28,Male,High School Equivalent,Divorced,1,2.41,IHG,12,No,14,No,Medical Tourism,14394.4603,Silver
420,Private Sector,32,Female,Bachelors Degree,Single,0,3.47,Marriott,12,No,18,No,Medical Tourism,0,Silver
421,Private Sector,,,Masters Degree,Married,0,1.99,IHG,39,No,10,No,Medical Tourism,820.0074732,Silver
422,Private Sector,34,Male,Bachelors Degree,Widowed,,2.46,Marriott,35,No,5,No,Leisure Travel,747.6649008,Silver
423,Business,30,Male,MBA,Divorced,1,2.67,None,22,No,19,Yes,Medical Tourism,0,Silver
424,Public Sector,58,,Bachelors Degree,Married,1,2.6,Jumeirah,,No,9,Yes,Leisure Travel,697.0869697,Bronze
425,Self-Employed,,Male,High School Equivalent,Married,1,3.31,Marriott,31,Yes,0,No,Leisure Travel,0,Bronze
426,Business,31,Female,MBA,Single,0,2.08,IHG,47,No,11,No,Business,5.40257E-08,Silver
427,Private Sector,,Female,High School Equivalent,Single,,3.28,IHG,24,No,11,No,Medical Tourism,0,Bronze
428,Business,,Male,High School Equivalent,Widowed,,3.77,IHG,40,No,9,No,Leisure Travel,15295.92548,Bronze
429,Business,50,Female,Bachelors Degree,Married,3,2.24,Discovery,22,Yes,0,No,Leisure Travel,756.8561425,Silver
430,Business,35,Female,High School Equivalent,Married,1,2.65,Marriott,28,No,7,Yes,Business,16254.68698,Bronze
431,Self-Employed,48,,Bachelors Degree,Widowed,,3.31,IHG,1,No,1,No,Business,1.547517749,Bronze
432,Public Sector,,Female,Bachelors Degree,Single,0,2.37,IHG,26,Yes,0,Yes,Business,0.274069131,Silver
433,Self-Employed,,,High School Equivalent,Single,0,3.68,Jumeirah,28,No,19,Yes,Medical Tourism,0,Bronze
434,Business,,Male,MBA,Married,,3.26,Hilton,,No,11,Yes,Business,0,Bronze
435,Self-Employed,,Male,Associate Degree,Widowed,1,2.85,Discovery,1,Yes,0,No,Medical Tourism,14230.56318,Bronze
436,Public Sector,,,High School Equivalent,Married,0,2.55,Jumeirah,19,No,13,No,Leisure Travel,15.87694468,Bronze
437,Private Sector,35,Female,MBA,Married,,3.1,Marriott,20,No,8,Yes,Leisure Travel,171.5578603,Silver
438,Private Sector,35,,Masters Degree,Divorced,,3.02,Jumeirah,22,No,11,Yes,Leisure Travel,0,Silver
439,Public Sector,57,Female,Doctorate,Married,1,2.59,Marriott,15,Yes,0,No,Leisure Travel,0,Silver
